,name,folk influences,a virtuosic high soprano,a waltz feel,straight drum beats,triple note feel,electric guitar riffs,acoustic piano accompaniment,minor key tonality,classic rhodes sound,electric rhythm guitars,pitched percussion,electric rock instrumentation,a subtle use of vocal counterpoint,piano,country influences,effected synths,ambient soundscapes,subtle use of the harmonica,a clear focus on recording studio production,strong melodies,a busy horn section,inventive acoustic arrangements,a shuffle beat,subtle use of pianos,electric pianos,acoustic guitar,a string orchestra,classical influences,a dynamic male vocalist,a Contemporary style,hard rock roots,background string section,the use of chordal patterning,light rock influences,an instrumental arrangement,melodic string riffs,upbeat lyrics,use of modal harmonies,a symphony orchestra,a concerto,sad lyrics,use of tonal harmonies,synth riffs,offensive lyrics,trippy soundscapes,a slow moving bass line,erotic lyrics,latin percussion,a subtle use of paired vocal harmony,humorous lyrics,acoustic rhythm piano,tonal harmony,a chorus,an overall meditative sound,a leisurely tempo,a soprano vocalist,new age influences,vocal harmonies,punk influences,use of a string ensemble,a fast and bright tempo,unsyncopated ensemble rhythms,prominent use of synth,bluegrass influences,electronica roots,subtle use of strings,acoustic rhythm guitars,narrative lyrics,a prominent mandolin part,a prominent rhythm piano part,repetitive melodic phrasing,acoustic instrumentation,reggae influences,political lyrics,electric guitar effects,electric guitars,subtle use of piano riffs,melodic songwriting,mellow rock instrumentation,folk rock qualities,a prominent harpsichord part,a subtle use of vocal harmony,string section beds,a dynamic female vocalist,a light swing groove,major key tonality,funk influences,a breathy male lead vocalist,a smooth male lead vocalist,a tranquil mood,oboe,smooth vocals,ska roots,prominent percussion,string ensemble,a large orchestra,melodic string accompaniment,synthetic sonority,a broad tempo,an electric guitar solo,the subtle use of a horn section,acoustic sonority,guitar effects,pop rock qualities,mallet percussion,prominent organ,acoustic rock instrumentation,extensive vamping,harp playing,a slow and stately tempo,violin,basic rock song structures,paired vocal harmony,dirty electric guitar riffs,emphasis on instrumental performance,emphasis on instrumental arranging,jazz influences,heavy use of vocal harmonies,mild rhythmic syncopation,heartbreaking lyrics,folk roots,romantic lyrics,an emotional male lead vocal performance,thru composed melodic style,solo strings,intricate melodic phrasing,mixed acoustic and electric instrumentation,interweaving vocal harmony,subtle use of fender rhodes,acoustic guitar riffs,electronica influences,synth rock arranging,a walking pace tempo,a modern Hawaiian aesthetic,new age aesthetics,a  20th century film score,subtle use of acoustic piano,slide guitars,gospel influences,a distinctive male lead vocal,prominent drums,varying tempo and time signatures
0,/helen-jane-long/porcelain/broken,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,/section-quartet/fuzzbox/such-great-heights,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,/maroon-5-artist/it-wont-be-soon-before-long/not-falling-apart,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,/jack-johnson/better-together-single-live/better-together-live,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,/iron-wine/our-endless-numbered-days/love-some-verses,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,/goo-goo-dolls/dizzy-up-girl/broadway,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,/joseph-arthur/lets-just-be/chicago,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,/john-mayer-artist/room-for-squares/your-body-is-wonderland,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,/justin-nozuka/holly/after-tonight,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,/kurt-nilsen/i/shes-so-high,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
